Sym	Name	UniProt	Description	GeneID	STRING ID	TDL	DTO_Lvl3	DTO_Lvl4	DTO_Lvl5	DTO_Lvl6	mouse_symbol	support	support_count	confidence	Subcell_Location
CDKL4	CDKL4_HUMAN	Q5MAI5	Cyclin-dependent kinase-like 4	344387	ENSP00000368080	Tdark	protein kinase	CMGC group	CDKL family		Cdkl4	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleus
CDKL5	CDKL5_HUMAN	O76039	Cyclin-dependent kinase-like 5	6792	ENSP00000369325	Tchem	protein kinase	CMGC group	CDKL family		Cdkl5	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm
CHEK1	CHK1_HUMAN	O14757	Serine/threonine-protein kinase Chk1	1111	ENSP00000388648	Tchem	protein kinase	CAMK group	CAMKL family	CHK1 subfamily	Chek1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Vesicles
CHEK2	CHK2_HUMAN	O96017	Serine/threonine-protein kinase Chk2	11200	ENSP00000372023	Tchem	protein kinase	CAMK group	RAD53 family		Chek2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Golgi apparatus
CHUK	IKKA_HUMAN	O15111	Inhibitor of nuclear factor kappa-B kinase subunit alpha	1147	ENSP00000359424	Tchem	protein kinase	other group	IKK family		Chuk	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm| Vesicles| Cytosol
CIT	CTRO_HUMAN	O14578	Citron Rho-interacting kinase	11113	ENSP00000376306	Tchem	protein kinase	AGC group	DMPK family		Cit	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Cytosol
CLK1	CLK1_HUMAN	P49759	Dual specificity protein kinase CLK1	1195	ENSP00000394734	Tchem	protein kinase	CMGC group	CLK family		Clk1	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nuclear membrane| Nucleoplasm
CLK2	CLK2_HUMAN	P49760	Dual specificity protein kinase CLK2	1196	ENSP00000357345	Tchem	protein kinase	CMGC group	CLK family		Clk2	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther	9	good	Nucleoplasm| Nuclear bodies
CLK3	CLK3_HUMAN	P49761	Dual specificity protein kinase CLK3	1198	ENSP00000378505	Tchem	protein kinase	CMGC group	CLK family		Clk3	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	10	good	Nucleoplasm| Intermediate filaments
CLK4	CLK4_HUMAN	Q9HAZ1	Dual specificity protein kinase CLK4	57396	ENSP00000316948	Tchem	protein kinase	CMGC group	CLK family		Clk4	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	actin filamentss
COQ8A	COQ8A_HUMAN	Q8NI60	Atypical kinase COQ8A, mitochondrial	56997	ENSP00000355741	Tbio	protein kinase	Atypical group	ABC1 family	ABC1-A subfamily	Coq8a	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Mitochondria
COQ8B	COQ8B_HUMAN	Q96D53	Atypical kinase COQ8B, mitochondrial	79934	ENSP00000315118	Tchem	protein kinase	Atypical group	ABC1 family	ABC1-A subfamily	Coq8b	HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Mitochondria
CSF1R	CSF1R_HUMAN	P07333	Macrophage colony-stimulating factor 1 receptor	1436	ENSP00000286301	Tclin	protein kinase	TK group	PDGFR family		Csf1r	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Vesicles| Plasma membrane
CSK	CSK_HUMAN	P41240	Tyrosine-protein kinase CSK	1445	ENSP00000220003	Tchem	protein kinase	TK group	CSK family		Csk	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Vesicles| Cytosol
CSNK1A1	KC1A_HUMAN	P48729	Casein kinase I isoform alpha	1452	ENSP00000421689	Tchem	protein kinase	CK1 group	CK1 family		Csnk1a1	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol
CSNK1A1L	KC1AL_HUMAN	Q8N752	Casein kinase I isoform alpha-like	122011	ENSP00000369126	Tdark	protein kinase	CK1 group	CK1 family						Cytosol
CSNK1D	KC1D_HUMAN	P48730	Casein kinase I isoform delta	1453	ENSP00000324464	Tchem	protein kinase	CK1 group	CK1 family		Csnk1d	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Nucleoli (Fibrillar center)| Nucleus
CSNK1E	KC1E_HUMAN	P49674	Casein kinase I isoform epsilon	102800317	ENSP00000380044	Tchem	protein kinase	CK1 group	CK1 family		Csnk1e	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,OMA,Panther	10	good	Nucleus| Cytosol
CSNK1G1	KC1G1_HUMAN	Q9HCP0	Casein kinase I isoform gamma-1	53944	ENSP00000305777	Tchem	protein kinase	CK1 group	CK1 family		Csnk1g1	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Cytosol
CSNK1G2	KC1G2_HUMAN	P78368	Casein kinase I isoform gamma-2	1455	ENSP00000255641	Tchem	protein kinase	CK1 group	CK1 family		Csnk1g2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Vesicles
CSNK1G3	KC1G3_HUMAN	Q9Y6M4	Casein kinase I isoform gamma-3	1456	ENSP00000353904	Tchem	protein kinase	CK1 group	CK1 family		Csnk1g3	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Nucleus
CSNK2A1	CSK21_HUMAN	P68400	Casein kinase II subunit alpha	1457	ENSP00000217244	Tchem	protein kinase	CMGC group	CK2 family		Csnk2a1	HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	9	good	Nucleoplasm
CSNK2A2	CSK22_HUMAN	P19784	Casein kinase II subunit alpha'	1459	ENSP00000262506	Tchem	protein kinase	CMGC group	CK2 family		Csnk2a2	HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm| Vesicles| Cytosol
CSNK2A3	CSK23_HUMAN	Q8NEV1	Casein kinase II subunit alpha 3	283106	ENSP00000473553	Tdark	protein kinase	CMGC group	CK2 family						Nucleoplasm
CSNK2B	CSK2B_HUMAN	P67870	Casein kinase II subunit beta	1460	ENSP00000365042	Tbio	protein kinase	CMGC group	CK2 family		Csnk2b	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol| Nucleoplasm| Nucleus| Plasma membrane| Secreted| Vesicles
DAPK1	DAPK1_HUMAN	P53355	Death-associated protein kinase 1	1612	ENSP00000386135	Tchem	protein kinase	CAMK group	DAPK family		Dapk1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Centrosome
DAPK2	DAPK2_HUMAN	Q9UIK4	Death-associated protein kinase 2	23604	ENSP00000261891	Tchem	protein kinase	CAMK group	DAPK family		Dapk2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther	11	good	Golgi apparatus| Vesicles
DAPK3	DAPK3_HUMAN	O43293	Death-associated protein kinase 3	1613	ENSP00000442973	Tchem	protein kinase	CAMK group	DAPK family		Dapk3	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	11	good	Nucleus
DCLK1	DCLK1_HUMAN	O15075	Serine/threonine-protein kinase DCLK1	9201	ENSP00000255448	Tchem	protein kinase	CAMK group	DCAMKL family		Dclk1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,NCBI,Panther,OrthoDB	10	good	Nucleus| Cytosol
DCLK2	DCLK2_HUMAN	Q8N568	Serine/threonine-protein kinase DCLK2	166614	ENSP00000303887	Tchem	protein kinase	CAMK group	DCAMKL family		Dclk2	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	10	good	Cytoskeleton| Microtubules
DCLK3	DCLK3_HUMAN	Q9C098	Serine/threonine-protein kinase DCLK3	85443	ENSP00000394484	Tchem	protein kinase	CAMK group	DCAMKL family		Dclk3	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleus
DDR1	DDR1_HUMAN	Q08345	Epithelial discoidin domain-containing receptor 1	780	ENSP00000427552	Tchem	protein kinase	TK group	DDR family		Ddr1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	11	good	Nucleoplasm| Cell Junctions
DDR2	DDR2_HUMAN	Q16832	Discoidin domain-containing receptor 2	4921	ENSP00000356899	Tchem	protein kinase	TK group	DDR family		Ddr2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	actin filamentss| Plasma membrane
DMPK	DMPK_HUMAN	Q09013	Myotonin-protein kinase	1760	ENSP00000345997	Tchem	protein kinase	AGC group	DMPK family	GEK subfamily	Dmpk	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	11	good	Cytosol| Vesicles
DSTYK	DUSTY_HUMAN	Q6XUX3	Dual serine/threonine and tyrosine protein kinase	25778	ENSP00000356130	Tchem	protein kinase	other group	SGK496 family		Dstyk	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nuclear speckles| Intermediate filaments
DYRK1A	DYR1A_HUMAN	Q13627	Dual specificity tyrosine-phosphorylation-regulated kinase 1A	1859	ENSP00000381932	Tchem	protein kinase	CMGC group	DYRK family	Dyrk1 subfamily	Dyrk1a	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cytosol| Nucleoli (Fibrillar center)
DYRK1B	DYR1B_HUMAN	Q9Y463	Dual specificity tyrosine-phosphorylation-regulated kinase 1B	9149	ENSP00000469863	Tchem	protein kinase	CMGC group	DYRK family	Dyrk1 subfamily	Dyrk1b	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleus
DYRK2	DYRK2_HUMAN	Q92630	Dual specificity tyrosine-phosphorylation-regulated kinase 2	8445	ENSP00000342105	Tchem	protein kinase	CMGC group	DYRK family	Dyrk2 subfamily	Dyrk2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm| Cytosol
DYRK3	DYRK3_HUMAN	O43781	Dual specificity tyrosine-phosphorylation-regulated kinase 3	8444	ENSP00000356076	Tchem	protein kinase	CMGC group	DYRK family	Dyrk2 subfamily	Dyrk3	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm| Cytosol
DYRK4	DYRK4_HUMAN	Q9NR20	Dual specificity tyrosine-phosphorylation-regulated kinase 4	8798	ENSP00000441755	Tchem	protein kinase	CMGC group	DYRK family	Dyrk2 subfamily	Dyrk4	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Vesicles
EEF2K	EF2K_HUMAN	O00418	Eukaryotic elongation factor 2 kinase	29904	ENSP00000263026	Tchem	protein kinase	Atypical group	Alpha family	eEF2K subfamily	Eef2k	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoplasm
EFNA1	EFNA1_HUMAN	P20827	Ephrin-A1	1942	ENSP00000357392	Tbio	protein kinase	TK group	Ephrin family		Efna1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane
EGFR	EGFR_HUMAN	P00533	Epidermal growth factor receptor	1956	ENSP00000275493	Tclin	protein kinase	TK group	EGFR family		Egfr	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Plasma membrane
EIF2AK1	E2AK1_HUMAN	Q9BQI3	Eukaryotic translation initiation factor 2-alpha kinase 1	27102	ENSP00000199389	Tchem	protein kinase	other group	PEK family		Eif2ak1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,NCBI,OMA,Panther,OrthoDB	11	good	Nucleus| Cytosol
EIF2AK2	E2AK2_HUMAN	P19525	Interferon-induced, double-stranded RNA-activated protein kinase	5610	ENSP00000233057	Tchem	protein kinase	other group	PEK family		Eif2ak2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cytosol
EIF2AK3	E2AK3_HUMAN	Q9NZJ5	Eukaryotic translation initiation factor 2-alpha kinase 3	9451	ENSP00000307235	Tchem	protein kinase	other group	PEK family	PEK subfamily	Eif2ak3	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	ER membrane| Nuclear membrane
EIF2AK4	E2AK4_HUMAN	Q9P2K8	eIF-2-alpha kinase GCN2	440275	ENSP00000263791	Tchem	protein kinase	other group	PEK family	GCN2 subfamily	Eif2ak4	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cytosol
EPHA1	EPHA1_HUMAN	P21709	Ephrin type-A receptor 1	2041	ENSP00000275815	Tchem	protein kinase	TK group	Eph family		Epha1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Plasma membrane
EPHA10	EPHAA_HUMAN	Q5JZY3	Ephrin type-A receptor 10	284656	ENSP00000362139	Tbio	protein kinase	TK group	Eph family		Epha10	Inparanoid,HomoloGene,HGNC,Ensembl,EggNOG,NCBI,OMA,Panther,OrthoDB	9	good	Plasma membrane| Vesicles
EPHA2	EPHA2_HUMAN	P29317	Ephrin type-A receptor 2	1969	ENSP00000351209	Tclin	protein kinase	TK group	Eph family		Epha2	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Vesicles| Plasma membrane
EPHA3	EPHA3_HUMAN	P29320	Ephrin type-A receptor 3	2042	ENSP00000337451	Tchem	protein kinase	TK group	Eph family		Epha3	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane
EPHA4	EPHA4_HUMAN	P54764	Ephrin type-A receptor 4	2043	ENSP00000281821	Tchem	protein kinase	TK group	Eph family		Epha4	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane
EPHA5	EPHA5_HUMAN	P54756	Ephrin type-A receptor 5	2044	ENSP00000480763	Tchem	protein kinase	TK group	Eph family		Epha5	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,NCBI,OMA,Panther,OrthoDB	9	good	Plasma membrane
EPHA6	EPHA6_HUMAN	Q9UF33	Ephrin type-A receptor 6	285220	ENSP00000374323	Tchem	protein kinase	TK group	Eph family		Epha6	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleoplasm
EPHA7	EPHA7_HUMAN	Q15375	Ephrin type-A receptor 7	2045	ENSP00000358309	Tchem	protein kinase	TK group	Eph family		Epha7	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane
EPHA8	EPHA8_HUMAN	P29322	Ephrin type-A receptor 8	2046	ENSP00000166244	Tchem	protein kinase	TK group	Eph family		Epha8	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane
EPHB1	EPHB1_HUMAN	P54762	Ephrin type-B receptor 1	2047	ENSP00000381097	Tchem	protein kinase	TK group	Eph family		Ephb1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Endoplasmic Reticulum| Cytosol| Plasma membrane
EPHB2	EPHB2_HUMAN	P29323	Ephrin type-B receptor 2	2048	ENSP00000363763	Tchem	protein kinase	TK group	Eph family		Ephb2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Plasma membrane| Nucleus
EPHB3	EPHB3_HUMAN	P54753	Ephrin type-B receptor 3	2049	ENSP00000332118	Tchem	protein kinase	TK group	Eph family		Ephb3	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane
EPHB4	EPHB4_HUMAN	P54760	Ephrin type-B receptor 4	2050	ENSP00000350896	Tchem	protein kinase	TK group	Eph family		Ephb4	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane
EPHB6	EPHB6_HUMAN	O15197	Ephrin type-B receptor 6	2051	ENSP00000481994	Tchem	protein kinase	TK group	Eph family		Ephb6	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,NCBI,OMA,Panther,OrthoDB	9	good	Nuclear speckles| Plasma membrane
ERBB2	ERBB2_HUMAN	P04626	Receptor tyrosine-protein kinase erbB-2	2064	ENSP00000269571	Tclin	protein kinase	TK group	EGFR family		Erbb2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Plasma membrane| Cytosol
ERBB3	ERBB3_HUMAN	P21860	Receptor tyrosine-protein kinase erbB-3	2065	ENSP00000267101	Tclin	protein kinase	TK group	EGFR family		Erbb3	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	actin filamentss| Plasma membrane
ERBB4	ERBB4_HUMAN	Q15303	Receptor tyrosine-protein kinase erbB-4	2066	ENSP00000342235	Tclin	protein kinase	TK group	EGFR family		Erbb4	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Cytosol| Mitochondria| Nucleoplasm| Nucleus| Plasma membrane
ERN1	ERN1_HUMAN	O75460	Serine/threonine-protein kinase/endoribonuclease IRE1	2081	ENSP00000401445	Tchem	protein kinase	other group	IRE family		Ern1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	ER membrane| Mitochondria| Nuclear membrane| Nucleus
ERN2	ERN2_HUMAN	Q76MJ5	Serine/threonine-protein kinase/endoribonuclease IRE2	10595	ENSP00000256797	Tbio	protein kinase	other group	IRE family		Ern2	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	ER membrane| Nuclear membrane
FASTK	FASTK_HUMAN	Q14296	Fas-activated serine/threonine kinase	10922	ENSP00000297532	Tbio	protein kinase	Atypical group	FAST family		Fastk	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Mitochondria| Nuclear speckles
FER	FER_HUMAN	P16591	Tyrosine-protein kinase Fer	2241	ENSP00000281092	Tclin	protein kinase	TK group	FER family		Fer	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	11	good	Cytosol
FES	FES_HUMAN	P07332	Tyrosine-protein kinase Fes/Fps	2242	ENSP00000331504	Tclin	protein kinase	TK group	FER family		Fes	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleus| Cytosol| Vesicles
FGFR1	FGFR1_HUMAN	P11362	Fibroblast growth factor receptor 1	2260	ENSP00000393312	Tclin	protein kinase	TK group	FGFR family		Fgfr1	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nucleoli| Plasma membrane
FGFR2	FGFR2_HUMAN	P21802	Fibroblast growth factor receptor 2	2263	ENSP00000410294	Tclin	protein kinase	TK group	FGFR family		Fgfr2	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Vesicles| Plasma membrane
FGFR3	FGFR3_HUMAN	P22607	Fibroblast growth factor receptor 3	2261	ENSP00000339824	Tclin	protein kinase	TK group	FGFR family		Fgfr3	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	9	good	Endoplasmic Reticulum| Plasma membrane
FGFR4	FGFR4_HUMAN	P22455	Fibroblast growth factor receptor 4	2264	ENSP00000292408	Tclin	protein kinase	TK group	FGFR family		Fgfr4	Inparanoid,HomoloGene,HGNC,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	10	good	Plasma membrane
FGR	FGR_HUMAN	P09769	Tyrosine-protein kinase Fgr	2268	ENSP00000363117	Tchem	protein kinase	TK group	SRC family		Fgr	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane| Aggresome
FLT1	VGFR1_HUMAN	P17948	Vascular endothelial growth factor receptor 1	2321	ENSP00000282397	Tclin	protein kinase	TK group	VEGFR family		Flt1	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane| Secreted
FLT3	FLT3_HUMAN	P36888	Receptor-type tyrosine-protein kinase FLT3	2322	ENSP00000241453	Tclin	protein kinase	TK group	PDGFR family		Flt3	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Endoplasmic Reticulum| Plasma membrane
FLT4	VGFR3_HUMAN	P35916	Vascular endothelial growth factor receptor 3	2324	ENSP00000261937	Tclin	protein kinase	TK group	VEGFR family		Flt4	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Nuclear speckles| Cell Junctions| Plasma membrane
FRK	FRK_HUMAN	P42685	Tyrosine-protein kinase FRK	2444	ENSP00000476145	Tchem	protein kinase	TK group	SRC family		Frk	Inparanoid,HomoloGene,HGNC,PhylomeDB,Ensembl,NCBI,OMA,Panther,OrthoDB	9	good	Nucleoplasm| Cytosol
FYN	FYN_HUMAN	P06241	Tyrosine-protein kinase Fyn	2534	ENSP00000346671	Tclin	protein kinase	TK group	SRC family		Fyn	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane| Cytosol
GAK	GAK_HUMAN	O14976	Cyclin-G-associated kinase	2580	ENSP00000314499	Tchem	protein kinase	other group	NAK family		Gak	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Golgi apparatus| Vesicles
GRK1	RK_HUMAN	Q15835	Rhodopsin kinase	6011	ENSP00000334876	Tchem	protein kinase	AGC group	GRK family	GRK subfamily	Grk1	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Plasma membrane
GRK2	ARBK1_HUMAN	P25098	Beta-adrenergic receptor kinase 1	156	ENSP00000312262	Tchem	protein kinase	AGC group	GRK family	BARK subfamily	Grk2	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,Panther,OrthoDB	11	good	Vesicles
GRK3	ARBK2_HUMAN	P35626	Beta-adrenergic receptor kinase 2	157	ENSP00000317578	Tchem	protein kinase	AGC group	GRK family	BARK subfamily	Grk3	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Nucleus| Plasma membrane
GRK4	GRK4_HUMAN	P32298	G protein-coupled receptor kinase 4	2868	ENSP00000381129	Tchem	protein kinase	AGC group	GRK family	GRK subfamily	Grk4	Inparanoid,HomoloGene,HGNC,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	11	good	Vesicles
GRK5	GRK5_HUMAN	P34947	G protein-coupled receptor kinase 5	2869	ENSP00000376609	Tchem	protein kinase	AGC group	GRK family	GRK subfamily	Grk5	Inparanoid,HomoloGene,HGNC,PhylomeDB,OrthoMCL,Ensembl,Treefam,EggNOG,NCBI,OMA,Panther,OrthoDB	12	good	Plasma membrane| Nuclear membrane
