disease	mesh_id	drug	phase	start_date	completion_date	nct_id
Leukemia, Lymphoid	D007945	imatinib	Phase 2	2001	2018	NCT00388895;NCT00427791;NCT02538926;NCT01319981;NCT00702403;NCT01312818;NCT00149136;NCT01429610;NCT00061945;NCT00376467;NCT00199186;NCT00171249;NCT03023046;NCT01005914;NCT00882206;NCT01383447;NCT00990249;NCT00130195;NCT01004497;NCT00298987;NCT00384228;NCT00287105;NCT00154349;NCT01279473;NCT00167180;NCT00036738;NCT00458848;NCT00081133;NCT01914484;NCT00038610;NCT00750659;NCT00973752;NCT00039377;NCT00618501;NCT00101595;NCT01616238;NCT00905398;NCT01030718;NCT02888990;NCT00171223;NCT00558961;NCT01724879;NCT00109707;NCT01641107;NCT00763763;NCT01883219
Leukemia, Lymphoid	D007945	imatinib	Phase 3	1993	2020	NCT00327678;NCT00022737;NCT00137111;NCT01085617;NCT00002514;NCT02881086;NCT03589326;NCT00349518;NCT04307576;NCT03007147;NCT00795756
Leukemia, Lymphoid	D007945	imatinib	Phase 4	2008	2008	NCT01491763;NCT02894645
Precursor Cell Lymphoblastic Leukemia-Lymphoma	D054198	imatinib	Phase 1	2001	2020	NCT00025415;NCT00352677;NCT00860535;NCT02081378;NCT00103701;NCT01077544;NCT00316953;NCT01066468;NCT00852709;NCT00346632;NCT03878524
Precursor Cell Lymphoblastic Leukemia-Lymphoma	D054198	imatinib	Phase 2	2001	2018	NCT00388895;NCT00427791;NCT02538926;NCT01319981;NCT00702403;NCT01312818;NCT00149136;NCT01429610;NCT00061945;NCT00376467;NCT00199186;NCT00171249;NCT03023046;NCT01005914;NCT00882206;NCT01383447;NCT00990249;NCT00130195;NCT01004497;NCT00298987;NCT00384228;NCT00287105;NCT00154349;NCT01279473;NCT00167180;NCT00036738;NCT00476190;NCT00458848;NCT00081133;NCT01914484;NCT00038610;NCT00750659;NCT00973752;NCT00039377;NCT00618501;NCT00101595;NCT01616238;NCT00905398;NCT01030718;NCT02888990;NCT00171223;NCT01005758;NCT01724879;NCT00109707;NCT01641107;NCT00763763;NCT01883219
Precursor Cell Lymphoblastic Leukemia-Lymphoma	D054198	imatinib	Phase 3	1993	2020	NCT00327678;NCT00022737;NCT00137111;NCT04375683;NCT01085617;NCT00123487;NCT00002514;NCT02881086;NCT03624530;NCT03589326;NCT00349518;NCT04307576;NCT03007147;NCT00795756;NCT02611492
Precursor Cell Lymphoblastic Leukemia-Lymphoma	D054198	imatinib	Phase 4	2008	2008	NCT01491763;NCT02894645
Leukemia, Lymphocytic, Chronic, B-Cell	D015451	imatinib	Phase 1	2001	2020	NCT00025415;NCT03878524
Leukemia, Lymphocytic, Chronic, B-Cell	D015451	imatinib	Phase 2	2004	2005	NCT00167180;NCT00558961
Lymphoma, B-Cell	D016393	imatinib	Phase 1	2001	2001	NCT00025415
Hodgkin Disease	D006689	imatinib	Phase 1	2001	2020	NCT00025415;NCT03878524
Lymphoma, Mantle-Cell	D020522	imatinib	Phase 1	2001	2001	NCT00025415
Lymphoma, B-Cell, Marginal Zone	D018442	imatinib	Phase 1	2001	2001	NCT00025415
Lymphoma, T-Cell	D016399	imatinib	Phase 1	2001	2001	NCT00025415
Lymphoma, T-Cell	D016399	imatinib	Phase 2	2008	2008	NCT00684411
Lymphoma, Large B-Cell, Diffuse	D016403	imatinib	Phase 1	2001	2001	NCT00025415
Lymphoma, Large-Cell, Immunoblastic	D016400	imatinib	Phase 1	2001	2001	NCT00025415
Plasmablastic Lymphoma	D000069293	imatinib	Phase 1	2001	2001	NCT00025415
Mycosis Fungoides	D009182	imatinib	Phase 1	2001	2001	NCT00025415
Sezary Syndrome	D012751	imatinib	Phase 1	2001	2001	NCT00025415
Lymphoma, T-Cell, Cutaneous	D016410	imatinib	Phase 1	2001	2001	NCT00025415
Leukemia, T-Cell	D015458	imatinib	Phase 1	2001	2001	NCT00025415
Leukemia-Lymphoma, Adult T-Cell	D015459	imatinib	Phase 1	2001	2001	NCT00025415
Waldenstrom Macroglobulinemia	D008258	imatinib	Phase 1	2001	2001	NCT00025415
Leukemia, Myelomonocytic, Chronic	D015477	imatinib	Phase 1	2001	2020	NCT00025415;NCT00852709;NCT03878524
Leukemia, Myelomonocytic, Chronic	D015477	imatinib	Phase 2	2002	2004	NCT00171912;NCT00079313;NCT00039416;NCT00136409
Leukemia, Myelomonocytic, Juvenile	D054429	imatinib	Phase 1	2001	2020	NCT00025415;NCT00852709;NCT03878524
Leukemia, Myelomonocytic, Juvenile	D054429	imatinib	Phase 2	2002	2004	NCT00171912;NCT00079313;NCT00039416;NCT00136409
Lymphoma, Large-Cell, Anaplastic	D017728	imatinib	Phase 1	2001	2001	NCT00025415
Lymphoma, Large-Cell, Anaplastic	D017728	imatinib	Phase 2	2015	2015	NCT02462538
Polycythemia Vera	D011087	imatinib	Phase 1	2001	2001	NCT00025415
Polycythemia Vera	D011087	imatinib	Phase 2	2002	2007	NCT01120821;NCT00430066;NCT00039416
Leukemia, Myeloid, Chronic-Phase	D015466	imatinib	Phase 1	2001	2020	NCT00025415;NCT00100997;NCT00301093;NCT00686218;NCT01933906;NCT00040105;NCT00101088;NCT00064233;NCT00103701;NCT00324077;NCT01426334;NCT03878524
Leukemia, Myeloid, Chronic-Phase	D015466	imatinib	Phase 2	2001	2019	NCT01746836;NCT02767063;NCT00702403;NCT00045422;NCT00114959;NCT00049192;NCT00093639;NCT00038649;NCT02709083;NCT00769327;NCT01593254;NCT00146913;NCT03205267;NCT03516279;NCT01092741;NCT00320190;NCT02949570;NCT01725204;NCT00112775;NCT01188889;NCT00510926;NCT01914484;NCT00048672;NCT03906292;NCT00777036;NCT00030394;NCT03610971;NCT02888964
Leukemia, Myeloid, Chronic-Phase	D015466	imatinib	Phase 3	2002	2018	NCT01827930;NCT03459534;NCT02627677;NCT02130557;NCT00124748;NCT00123474;NCT00055874;NCT01460693
Leukemia, Myeloid, Chronic-Phase	D015466	imatinib	Phase 4	2003	2012	NCT00644878;NCT01660906;NCT00390897
Leukemia, Hairy Cell	D007943	imatinib	Phase 1	2001	2001	NCT00025415
Leukemia, Myeloid, Accelerated Phase	D015465	imatinib	Phase 1	2001	2020	NCT00025415;NCT00101088;NCT00316953;NCT01426334;NCT03878524
Leukemia, Myeloid, Accelerated Phase	D015465	imatinib	Phase 2	2000	2013	NCT00702403;NCT00114959;NCT00054431;NCT00110058;NCT00101647;NCT00006052;NCT01914484
Leukemia, Myeloid, Accelerated Phase	D015465	imatinib	Phase 3	2005	2005	NCT00123487
Leukemia, Prolymphocytic	D015463	imatinib	Phase 1	2001	2001	NCT00025415
Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative	D054438	imatinib	Phase 1	2001	2020	NCT00025415;NCT03878524
Plasmacytoma	D010954	imatinib	Phase 1	2001	2001	NCT00025415
Intraocular Lymphoma	D064090	imatinib	Phase 1	2001	2001	NCT00025415
Leukemia, Large Granular Lymphocytic	D054066	imatinib	Phase 1	2001	2001	NCT00025415
Immunoglobulin Light-chain Amyloidosis	D000075363	imatinib	Phase 1	2001	2001	NCT00025415
Sarcoma	D012509	imatinib	Phase 2	2000	2019	NCT00117299;NCT00385203;NCT00090987;NCT00767819;NCT00400569;NCT01281865;NCT00030667;NCT00085475;NCT00084630;NCT00062205;NCT04138381;NCT00006357;NCT00359333;NCT00031915;NCT02048371
Sarcoma	D012509	imatinib	Phase 3	2004	2015	NCT02413736;NCT00116935
Prostatic Neoplasms	D011471	imatinib	Phase 1	2001	2020	NCT00424385;NCT00038194;NCT03878524
Prostatic Neoplasms	D011471	imatinib	Phase 2	2003	2007	NCT01316458;NCT00251225;NCT00427999;NCT00084825;NCT00500110;NCT00861471;NCT00080678
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	D054218	imatinib	Phase 2	2018	2018	NCT02538926
Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	D054218	imatinib	Phase 3	2017	2017	NCT03007147
Glioblastoma	D005909	imatinib	Phase 1	2005	2007	NCT00613132;NCT00613054
Glioblastoma	D005909	imatinib	Phase 2	2004	2007	NCT00354913;NCT00290771;NCT00615927;NCT00606008;NCT00171938
Glioblastoma	D005909	imatinib	Phase 3	2004	2018	NCT03632135;NCT00154375
Meningioma	D008579	imatinib	Phase 2	2001	2009	NCT00354913;NCT00904735;NCT00045734;NCT00010049
Gliosarcoma	D018316	imatinib	Phase 1	2005	2007	NCT00613132;NCT00613054
Gliosarcoma	D018316	imatinib	Phase 2	2005	2006	NCT00354913;NCT00615927
Colorectal Neoplasms	D015179	imatinib	Phase 1	2002	2009	NCT01271166;NCT00183833;NCT00920868
Colorectal Neoplasms	D015179	imatinib	Phase 2	2008	2009	NCT00867334;NCT00784446
Nervous System Neoplasms	D009423	imatinib	Phase 1	2004	2006	NCT00387933;NCT00354068;NCT00401024
Nervous System Neoplasms	D009423	imatinib	Phase 2	2001	2009	NCT00904735;NCT00021229;NCT00010049;NCT00039364
Central Nervous System Neoplasms	D016543	imatinib	Phase 1	2004	2006	NCT00387933;NCT00354068;NCT00401024
Central Nervous System Neoplasms	D016543	imatinib	Phase 2	2001	2009	NCT00904735;NCT00021229;NCT00010049;NCT00039364
Urogenital Neoplasms	D014565	imatinib	Phase 2	2003	2020	NCT01316458;NCT04644432
Genital Neoplasms, Male	D005834	imatinib	Phase 2	2003	2003	NCT01316458
Abdominal Neoplasms	D000008	imatinib	Phase 2	2003	2003	NCT01316458
Small Cell Lung Carcinoma	D055752	imatinib	Phase 1	2002	2003	NCT00052494;NCT00045604
Small Cell Lung Carcinoma	D055752	imatinib	Phase 2	2002	2003	NCT00248482;NCT00156286;NCT00052949
Mesothelioma	D008654	imatinib	Phase 1	2006	2006	NCT00402766
Mesothelioma	D008654	imatinib	Phase 2	2008	2014	NCT02303899;NCT00551252
Adenocarcinoma	D000230	imatinib	Phase 1	2007	2020	NCT00598091;NCT03878524
Adenocarcinoma	D000230	imatinib	Phase 2	2004	2004	NCT00209079
Carcinoma	D002277	imatinib	Phase 1	2006	2020	NCT00314873;NCT03878524
Carcinoma	D002277	imatinib	Phase 2	2003	2020	NCT00506779;NCT01153750;NCT00354523;NCT04644432;NCT00193258;NCT00068783;NCT02788201;NCT00180921
Uterine Neoplasms	D014594	imatinib	Phase 2	2003	2003	NCT00506779
Cystadenocarcinoma, Serous	D018284	imatinib	Phase 2	2003	2003	NCT00506779
Cholangiocarcinoma	D018281	imatinib	Phase 2	2007	2007	NCT01153750
Neoplasms, Germ Cell and Embryonal	D009373	imatinib	Phase 2	2002	2002	NCT00042952
Germinoma	D018237	imatinib	Phase 2	2002	2002	NCT00042952
Ovarian Neoplasms	D010051	imatinib	Phase 2	2002	2009	NCT00042952;NCT00840450;NCT00039585;NCT00510653;NCT00928642;NCT00216112
Testicular Neoplasms	D013736	imatinib	Phase 2	2002	2002	NCT00042952
Seminoma	D018239	imatinib	Phase 2	2002	2002	NCT00042952
Dysgerminoma	D004407	imatinib	Phase 2	2002	2002	NCT00042952
Thyroid Neoplasms	D013964	imatinib	Phase 1	2018	2018	NCT03469011
Thyroid Neoplasms	D013964	imatinib	Phase 2	2004	2004	NCT00354523;NCT00115739
Dermatofibrosarcoma	D018223	imatinib	Phase 2	2004	2010	NCT00122473;NCT00171912;NCT00085475;NCT01059656;NCT00084630;NCT00243191
Chondrosarcoma	D002813	imatinib	Phase 2	2007	2014	NCT00928525;NCT02048371
Fibromatosis, Aggressive	D018222	imatinib	Phase 2	2004	2019	NCT00928525;NCT00287846;NCT02495519;NCT03802084;NCT01137916
Mastocytosis	D008415	imatinib	Phase 2	2004	2004	NCT00171912;NCT00109707
Mastocytosis	D008415	imatinib	Phase 4	2011	2011	NCT01297777
Mastocytosis, Systemic	D034721	imatinib	Phase 2	2004	2004	NCT00171912;NCT00109707
Mastocytosis, Systemic	D034721	imatinib	Phase 4	2011	2011	NCT01297777
Breast Neoplasms	D001943	imatinib	Phase 1	2003	2020	NCT00080665;NCT03878524
Breast Neoplasms	D001943	imatinib	Phase 2	2002	2006	NCT00323063;NCT00338728;NCT00087152;NCT00193180;NCT00045188
Breast Neoplasms	D001943	imatinib	Phase 4	2006	2006	NCT00372476
Sarcoma, Kaposi	D012514	imatinib	Phase 2	2005	2005	NCT00090987
Carcinoma, Ovarian Epithelial	D000077216	imatinib	Phase 2	2002	2009	NCT00036751;NCT00039585;NCT00041041;NCT00510653;NCT00928642;NCT00216112
Fallopian Tube Neoplasms	D005185	imatinib	Phase 2	2002	2002	NCT00039585
Neurofibromatoses	D017253	imatinib	Phase 2	2006	2018	NCT01140360;NCT01673009;NCT02177825;NCT03688568
Neurofibromatosis 1	D009456	imatinib	Phase 2	2006	2018	NCT01140360;NCT01673009;NCT02177825;NCT03688568
Neurofibroma	D009455	imatinib	Phase 2	2006	2018	NCT01140360;NCT01673009;NCT02177825;NCT03688568
Neurofibroma, Plexiform	D018318	imatinib	Phase 2	2006	2018	NCT01140360;NCT01673009;NCT02177825;NCT03688568
Leukemia, Myelomonocytic, Acute	D015479	imatinib	Phase 1	2007	2007	NCT00852709
Leukemia, Myelomonocytic, Acute	D015479	imatinib	Phase 2	2002	2004	NCT00079313;NCT00136409
Gastrointestinal Neoplasms	D005770	imatinib	Phase 2	2004	2007	NCT00089960;NCT00570635
Gastrointestinal Neoplasms	D005770	imatinib	Phase 4	2008	2008	NCT00793871
Stomach Neoplasms	D013274	imatinib	Phase 1	2007	2007	NCT00601510
Stomach Neoplasms	D013274	imatinib	Phase 2	2004	2017	NCT00068380;NCT03170180
Fibroma	D005350	imatinib	Phase 2	2004	2014	NCT00287846;NCT02495519;NCT01137916
Leiomyosarcoma	D007890	imatinib	Phase 2	2006	2006	NCT00400569
Liposarcoma	D008080	imatinib	Phase 2	2006	2014	NCT00400569;NCT02048371
Fibrosarcoma	D005354	imatinib	Phase 2	2004	2006	NCT00400569;NCT00084630
Histiocytoma	D051642	imatinib	Phase 2	2002	2006	NCT00400569;NCT00031915
Histiocytoma, Benign Fibrous	D018219	imatinib	Phase 2	2002	2006	NCT00400569;NCT00031915
Histiocytoma, Malignant Fibrous	D051677	imatinib	Phase 2	2002	2006	NCT00400569;NCT00031915
Colonic Neoplasms	D003110	imatinib	Phase 1	2002	2002	NCT00183833
Colonic Neoplasms	D003110	imatinib	Phase 2	2002	2016	NCT00041340;NCT02685046
Carcinosarcoma	D002296	imatinib	Phase 2	2004	2004	NCT00075400
Mixed Tumor, Mullerian	D018200	imatinib	Phase 2	2004	2004	NCT00075400
Neoplasm, Residual	D018365	imatinib	Phase 1	2012	2013	NCT01460498;NCT01751425
Neoplasm, Residual	D018365	imatinib	Phase 2	2005	2018	NCT00267085;NCT03516279;NCT01883219
Neoplasm, Residual	D018365	imatinib	Phase 3	2018	2018	NCT03624530
Thymoma	D013945	imatinib	Phase 1	2006	2006	NCT00314873
Kidney Neoplasms	D007680	imatinib	Phase 2	2006	2020	NCT03165721;NCT00323791;NCT04644432;NCT00331409
Carcinoma, Renal Cell	D002292	imatinib	Phase 2	2004	2020	NCT03165721;NCT00323791;NCT04644432;NCT00331409;NCT00193258
Pheochromocytoma	D010673	imatinib	Phase 2	2017	2017	NCT03165721
Paraganglioma	D010235	imatinib	Phase 2	2017	2017	NCT03165721
Carotid Body Tumor	D002345	imatinib	Phase 2	2017	2017	NCT03165721
Astrocytoma	D001254	imatinib	Phase 2	2007	2007	NCT00606008
Astrocytoma	D001254	imatinib	Phase 3	2004	2004	NCT00154375
Chordoma	D002817	imatinib	Phase 1	2011	2011	NCT01175109
Chordoma	D002817	imatinib	Phase 2	2004	2019	NCT04042597;NCT00150072
Neoplasms, Second Primary	D016609	imatinib	Phase 2	2014	2014	NCT02142036
Glioma	D005910	imatinib	Phase 1	2004	2007	NCT00613054;NCT00354068;NCT00401024
Glioma	D005910	imatinib	Phase 2	2001	2003	NCT00021229;NCT00049127;NCT00010049;NCT00039364
Skin Neoplasms	D012878	imatinib	Phase 1	2013	2013	NCT01738139
Skin Neoplasms	D012878	imatinib	Phase 2	2001	2016	NCT02812693;NCT00027586;NCT00068783
Sarcoma, Synovial	D013584	imatinib	Phase 2	2002	2011	NCT01281865;NCT00030667
Hematologic Neoplasms	D019337	imatinib	Phase 1	2015	2020	NCT02352558;NCT03878524
Hematologic Neoplasms	D019337	imatinib	Phase 4	2016	2016	NCT03844360
Neuroblastoma	D009447	imatinib	Phase 2	2002	2002	NCT00030667
Osteosarcoma	D012516	imatinib	Phase 2	2002	2014	NCT00030667;NCT00031915;NCT02048371
Sarcoma, Ewing	D012512	imatinib	Phase 2	2002	2002	NCT00030667;NCT00062205
Neuroectodermal Tumors	D017599	imatinib	Phase 2	2002	2002	NCT00030667
Neuroectodermal Tumors, Primitive	D018242	imatinib	Phase 2	2002	2002	NCT00030667
Neuroectodermal Tumors, Primitive, Peripheral	D018241	imatinib	Phase 2	2002	2002	NCT00030667;NCT00062205
Desmoplastic Small Round Cell Tumor	D058405	imatinib	Phase 2	2002	2005	NCT00030667;NCT00062205;NCT00417807
Pancreatic Neoplasms	D010190	imatinib	Phase 1	2005	2020	NCT01048320;NCT00281996;NCT03878524
Pancreatic Neoplasms	D010190	imatinib	Phase 2	2005	2005	NCT00161213
Urologic Neoplasms	D014571	imatinib	Phase 2	2020	2020	NCT04644432
Thyroid Cancer, Papillary	D000077273	imatinib	Phase 1	2018	2018	NCT03469011
Thoracic Neoplasms	D013899	imatinib	Phase 2	2018	2018	NCT03389256
Rectal Neoplasms	D012004	imatinib	Phase 2	2002	2002	NCT00041340
Oligodendroglioma	D009837	imatinib	Phase 2	2003	2003	NCT00049127
Brain Neoplasms	D001932	imatinib	Phase 2	2003	2003	NCT00049127
Hemangiopericytoma	D006393	imatinib	Phase 2	2003	2003	NCT00045734
Nerve Sheath Neoplasms	D018317	imatinib	Phase 3	2006	2006	NCT00427583
Neurofibrosarcoma	D018319	imatinib	Phase 3	2006	2006	NCT00427583
Endometrial Neoplasms	D016889	imatinib	Phase 2	2000	2000	NCT00006357
Intestinal Neoplasms	D007414	imatinib	Phase 2	2000	2000	NCT00006357
Carcinoma, Merkel Cell	D015266	imatinib	Phase 2	2003	2003	NCT00068783
Carcinoma, Neuroendocrine	D018278	imatinib	Phase 2	2003	2003	NCT00068783
Urinary Bladder Neoplasms	D001749	imatinib	Phase 2	2017	2017	NCT02788201
Carcinoma, Transitional Cell	D002295	imatinib	Phase 2	2017	2017	NCT02788201
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	D015452	imatinib	Phase 2	2009	2009	NCT00905398
Head and Neck Neoplasms	D006258	imatinib	Phase 2	2004	2007	NCT00485485;NCT00180921
Neoplasms, Squamous Cell	D018307	imatinib	Phase 2	2007	2007	NCT00485485
Carcinoma, Squamous Cell	D002294	imatinib	Phase 2	2007	2007	NCT00485485
Leukemia, Promyelocytic, Acute	D015473	imatinib	Phase 1	2007	2007	NCT00852709
Carcinoma, Adenoid Cystic	D003528	imatinib	Phase 2	2004	2004	NCT00180921
Salivary Gland Neoplasms	D012468	imatinib	Phase 2	2002	2002	NCT00045669
Lymphangioleiomyomatosis	D018192	imatinib	Phase 2	2018	2018	NCT03131999
Breast Neoplasms, Male	D018567	imatinib	Phase 2	2002	2002	NCT00045188
Rhabdomyosarcoma	D012208	imatinib	Phase 2	2014	2014	NCT02048371
Chondrosarcoma, Mesenchymal	D018211	imatinib	Phase 2	2014	2014	NCT02048371
Digestive System Neoplasms	D004067	imatinib	Phase 2	2007	2007	NCT00570635
Digestive System Neoplasms	D004067	imatinib	Phase 4	2008	2008	NCT00793871
Neoplasms, Plasma Cell	D054219	imatinib	Phase 1	2020	2020	NCT03878524
